Case ID,Title,Section Hierarchy,Type,Priority,Steps,Expected Result,Automation
OP-01,Options - Opens from the main menu,Spider Solitaire Unity > Options,Functional,Medium,"1. From the main menu, tap Options.",1. The Options screen opens. The main menu is gone.,Manual
OP-03,"Options - Applause Volume moves to min, max, and middle",Spider Solitaire Unity > Options,Functional,High,"1. From the main menu, tap Options and find Applause Volume.
2. Drag the knob all the way left, all the way right, then to the middle.","1. A slider with a knob is on the row. The - and + marks are labels, not buttons.
2. The knob sits at the left end, then the right end, then somewhere in the middle — not only at the two ends.",Manual
OP-04,Options - Applause Volume stays after you leave the screen,Spider Solitaire Unity > Options,Functional,High,"1. On Options, drag Applause Volume to a new position and remember where the knob sits.
2. Go back to the main menu, then open Options again.","1. The knob moves.
2. The knob is still where you left it.",Manual
OP-05,Options - Auto Mute Sounds turns off and on,Spider Solitaire Unity > Options,Functional,High,"1. Open Options and look at Auto Mute Sounds (it ships ON).
2. Tap the toggle, then tap it again.","1. You can tell whether the toggle is on or off.
2. It flips the first time and returns the second time. A tap that does nothing fails.",Manual
OP-06,"Options - Card Lowering moves to min, max, and middle",Spider Solitaire Unity > Options,Functional,High,"1. Open Options, scroll to Card Lowering, and drag the knob all the way left, all the way right, then to the middle.",1. The knob reaches both ends and can sit in the middle. It is not a stepped control that only snaps to the ends.,Manual
OP-07,Options - Use Hearts turns on and off,Spider Solitaire Unity > Options,Functional,High,"1. Open Options, scroll to Use Hearts (it ships OFF), and tap the toggle twice.","1. It turns on, then back off.",Manual
HP-01,Help - Opens on Introduction,Spider Solitaire Unity > Help,Functional,Medium,"1. From the main menu, tap Help.",1. Help opens with the Introduction heading. The main menu is gone.,Manual
HP-02,Help - Rules scroll down to the FAQ link,Spider Solitaire Unity > Help,Functional,Medium,"1. From the main menu, tap Help.
2. Scroll the rules text down.","1. Help opens on Introduction.
2. A frequently asked questions link appears at the bottom. A header with an empty body fails.",Manual
HP-03,Help - Back returns to the main menu,Spider Solitaire Unity > Help,Functional,Medium,"1. From Help, tap Back.",1. The main menu is showing.,Manual
AB-01,About - Opens from the About menu item,Spider Solitaire Unity > About,Functional,Medium,"1. From the main menu, tap About.",1. The About screen opens. You can see the copyright line.,Manual
AB-03,About - Version and links are on the page,Spider Solitaire Unity > About,Functional,Medium,"1. From the main menu, tap About.","1. About opens with a version line, copyright, and links for Help, frequently asked questions, and submit feedback. Do not tap ad free version or submit feedback here — they leave the app.",Manual
AB-04,About - Frequently asked questions stays in the app,Spider Solitaire Unity > About,Functional,Medium,"1. On About, tap frequently asked questions.",1. An FAQ screen opens inside Spider. You do not leave for a browser or the App Store.,Manual
AB-05,About - FAQ scrolls down to submit feedback,Spider Solitaire Unity > About,Functional,Medium,1. Open FAQ from About. The first screen ends mid-answer. Scroll down.,1. Submit feedback appears at the bottom. The FAQ title at the top stays put; you are still on FAQ.,Manual
AB-06,About - Spider logo also opens About,Spider Solitaire Unity > About,Functional,High,"1. From the main menu, tap the Spider logo at the top.","1. About opens, the same screen as the About menu item.",Manual
MG-01,More Games - Gift icon opens the in-app promo page,Spider Solitaire Unity > More Games,Functional,Medium,"1. From the main menu, tap More Games (the gift icon).",1. An in-app page opens with Tap any game to download it! You do not jump to the App Store.,Manual
MG-02,More Games - Swipe reveals FreeCell and Spiderette,Spider Solitaire Unity > More Games,Functional,Medium,"1. On the More Games page, swipe the list of games up once.",1. FreeCell and Spiderette come into view. The back button and instruction line at the top stay put.,Manual
MG-03,More Games - Back returns to the main menu,Spider Solitaire Unity > More Games,Functional,Medium,"1. From the More Games page, tap Back.",1. The main menu is showing.,Manual
PL-01,Play - Opens the difficulty picker,Spider Solitaire Unity > Play,Functional,High,"1. From the main menu, tap Play.",1. A difficulty picker opens. A game does not start yet.,Manual
PL-02,Play - Picker shows all five levels,Spider Solitaire Unity > Play,Functional,High,1. Open Play.,"1. Easy, Medium, Hard, Bold, and Expert are all listed.",Manual
PL-03,Play - Easy starts a game,Spider Solitaire Unity > Play,Functional,High,"1. On the picker, tap Easy. If the app asks whether to abandon a paused game, tap Yes.",1. You are on the game table (cards and the in-game bar). A prompt that only closed the picker is not enough.,Manual
PL-04,Play - Declining abandon stays on the picker,Spider Solitaire Unity > Play,Functional,Medium,"1. With a paused game, open Play and tap its difficulty again.
2. Tap No.","1. An abandon confirmation appears.
2. The new deal is cancelled. The difficulty picker remains open, the game table has not started, and the paused game has not been discarded.",Manual
QA-02,QA - Dev Panel is hidden until you unlock it,Spider Solitaire Unity > QA / Dev Panel,Functional,Medium,"1. Open About. If a Dev Panel button is already in the bottom-right, tap the spider emblem (the spider above the wordmark, not the words) five times quickly to hide it.",1. No Dev Panel button is showing. A build that always shows the button fails.,Manual
QA-03,QA - Five quick taps on the emblem show Dev Panel,Spider Solitaire Unity > QA / Dev Panel,Functional,High,"1. On About, tap the spider emblem five times quickly. Tap the emblem, not the Spider SOLITAIRE wordmark under it.",1. A Dev Panel button appears in the bottom-right corner.,Manual
QA-04,QA - Five more taps hide Dev Panel again,Spider Solitaire Unity > QA / Dev Panel,Functional,Medium,"1. With the Dev Panel button showing on About, tap the emblem five times quickly again.",1. The Dev Panel button disappears. The gesture turns it on and off.,Manual
GP-01,Gameplay - Table controls are on screen,Spider Solitaire Unity > Gameplay,Functional,High,1. Start or resume an Easy game.,"1. You can see Back, the in-game menu, tap to undo, tap to lower, and tap for hints.",Manual
GP-02,Gameplay - Dealing from the stock changes the board,Spider Solitaire Unity > Gameplay,Functional,High,"1. On a table that still has cards in the stock, look at the tableau, then tap the stock pile.",1. The board changes (new cards appear). A tap that does nothing fails.,Manual
GP-03,Gameplay - Undo puts the board back,Spider Solitaire Unity > Gameplay,Functional,High,"1. After a stock deal that changed the board, tap tap to undo.","1. The board looks like it did before the deal. Undo must restore the cards, not only play an animation.",Manual
GP-04,Gameplay - Tap to lower drops the playfield,Spider Solitaire Unity > Gameplay,Functional,High,"1. If the table is already shifted down, tap tap to lower once to raise it first (this setting survives leaving a game).
2. Tap tap to lower once.","1. The top bar sits in its normal (raised) place.
2. The whole playfield slides down, including the top bar.",Manual
GP-05,Gameplay - Tap to raise brings the playfield back,Spider Solitaire Unity > Gameplay,Functional,High,"1. With the playfield lowered, tap tap to lower again (same control).",1. The playfield slides back up to where it started.,Manual
GP-06,Gameplay - Tap for hints highlights a move,Spider Solitaire Unity > Gameplay,Functional,High,"1. On a table that has a legal move, tap tap for hints. Watch the board as you tap — the highlight lasts less than a second.","1. A move is highlighted briefly. If you look away and look back, the board may look unchanged; that is expected.",Manual
GP-07,Gameplay - In-game menu shows all six actions,Spider Solitaire Unity > Gameplay,Functional,Medium,"1. On the table, open the in-game menu.","1. You see Replay, Abandon, Options, New, Help, and FAQ. Do not tap Abandon — it ends the game.",Manual
GP-08,Gameplay - Use Hearts ON turns Easy cards into hearts,Spider Solitaire Unity > Gameplay,Functional,High,"1. Start Easy. The cards should be black spades. If they are already hearts, open Options and turn Use Hearts off first.
2. Open the in-game menu, tap Options, turn Use Hearts on, and go back to the table.","1. The dealt cards are black spades.
2. The same deal is now red hearts. Easy only — Medium already mixes suits.",Manual
GP-09,Gameplay - Use Hearts OFF turns the cards back to spades,Spider Solitaire Unity > Gameplay,Functional,High,"1. With Use Hearts on and hearts on the Easy table, open Options, turn Use Hearts off, and go back to the table.",1. The cards are black spades again.,Manual
GP-10,"Gameplay - Rich Features OFF hides timer, score, multiplier",Spider Solitaire Unity > Gameplay,Functional,High,"1. On the table, look under the cards for the timer, score, and multiplier.
2. Open the in-game menu, tap Options, turn Rich Features off, and go back to the table.","1. Those three items are visible.
2. Timer, score, and multiplier are gone.",Manual
GP-11,"Gameplay - Rich Features ON brings timer, score, multiplier back",Spider Solitaire Unity > Gameplay,Functional,High,"1. With Rich Features off, open Options, turn Rich Features on, and go back to the table.","1. Timer, score, and multiplier are visible again. Turn this back on before you leave — tap to lower also disappears while it is off.",Manual
GP-14,Gameplay - New deals a different board,Spider Solitaire Unity > Gameplay,Functional,High,"1. Look at the current board, open the in-game menu, and tap New. If a tip card appears, tap OK.","1. You are still on a game table, and the cards are a different deal.",Manual
VI-01,Victory - Complete Game from the table shows the win screen,Spider Solitaire Unity > Victory,Functional,High,"1. Unlock Dev Panel on About if needed (five quick taps on the spider emblem). Deal Easy. Open Dev Panel on the table and tap Complete Game. Do not fire Complete Game from About — it only works on a game that is already open.
2. Close the Dev Panel so it is not covering the right side.","1. The Victory screen appears.
2. The Victory buttons on the right are visible.",Manual
VI-02,Victory - Win screen shows all of its parts,Spider Solitaire Unity > Victory,Functional,Medium,"1. On the Victory screen, with Dev Panel closed, look over the page.","1. You can see the ranking-for header, current / rank / best columns, leaderboards, achievements, help, new, and stats.",Manual
VI-03,Victory - Footer names the level you just played,Spider Solitaire Unity > Victory,Functional,High,1. Win an Easy game with Complete Game and read the footer.,"1. It says Easy level, matching the game you started, not some other level.",Manual
VI-04,Victory - Back returns to the main menu,Spider Solitaire Unity > Victory,Functional,Medium,"1. On Victory, tap the screen's own Back control — not New.",1. The main menu is showing. Leaving by Back leaves no game in progress.,Manual
DL-01,Difficulty - Medium starts and can be completed,Spider Solitaire Unity > Difficulty,Functional,High,"1. From the menu, tap Play, then Medium.
2. Open Dev Panel on the table, tap Complete Game, close the panel, then tap Back on Victory.","1. A Medium game is on the table.
2. Victory appeared for Medium, then you can get back to the menu.",Manual
DL-02,Difficulty - Hard starts and can be completed,Spider Solitaire Unity > Difficulty,Functional,High,"1. From the menu, tap Play, then Hard. Complete the game from Dev Panel on the table, then tap Back on Victory.","1. Hard dealt a table, Victory appeared, and you can get back to the menu.",Manual
DL-03,Difficulty - Bold starts and can be completed,Spider Solitaire Unity > Difficulty,Functional,High,"1. From the menu, tap Play, then Bold. Complete the game from Dev Panel on the table, then tap Back on Victory.","1. Bold dealt a table, Victory appeared, and you can get back to the menu.",Manual
DL-04,Difficulty - Expert starts and can be completed,Spider Solitaire Unity > Difficulty,Functional,High,"1. From the menu, tap Play, then Expert. Complete the game from Dev Panel on the table, then tap Back on Victory.","1. Expert dealt a table, Victory appeared, and you can get back to the menu.",Manual
PI-01,Promo icons - Five game icons on the menu after a win,Spider Solitaire Unity > More Games,Functional,Medium,"1. Finish at least one game (or use Complete Game), then go to the main menu. Wait a few seconds.","1. Five icons sit on the left: Solitaire, Sudoku 2, Card Games, FreeCell, and Spiderette. A fresh install with no wins does not show this strip — that is normal.",Manual
PI-02,Promo icons - Solitaire opens Solitaire: Classic Cards,Spider Solitaire Unity > More Games,Functional,Medium,"1. On the menu, tap the Solitaire icon. Wi-Fi must be on.
2. Read the store page name.
3. Tap ◀ Spider in the status bar (or switch back to Spider).","1. The App Store opens.
2. The page is Solitaire: Classic Cards.
3. You are back on the main menu. Spider did not restart.",Manual
PI-03,Promo icons - Sudoku 2 opens Sudoku,Spider Solitaire Unity > More Games,Functional,Medium,"1. Tap the Sudoku 2 icon.
2. Switch back to Spider.","1. The App Store opens on a Sudoku page.
2. The main menu is showing.",Manual
PI-04,Promo icons - Card Games opens Card Games,Spider Solitaire Unity > More Games,Functional,Medium,"1. Tap the Card Games icon.
2. Switch back to Spider.","1. The App Store opens on Card Games — not another Solitaire or card title.
2. The main menu is showing.",Manual
PI-05,Promo icons - FreeCell opens FreeCell,Spider Solitaire Unity > More Games,Functional,Medium,"1. Tap the FreeCell icon.
2. Switch back to Spider.","1. The App Store opens on FreeCell.
2. The main menu is showing.",Manual
PI-06,Promo icons - Spiderette opens Spiderette,Spider Solitaire Unity > More Games,Functional,Medium,"1. Tap the Spiderette icon.
2. Switch back to Spider.","1. The App Store opens on Spiderette.
2. The main menu is showing.",Manual
RS-01,Reset Statistics - Link asks you to confirm,Spider Solitaire Unity > Statistics,Destructive,High,"1. Open Stats, scroll to Reset Statistics, and tap it.",1. A confirmation appears (reset local scores?). Game Center scores are not part of this wipe.,Manual
RS-02,Reset Statistics - Confirming wipes local scores,Spider Solitaire Unity > Statistics,Destructive,High,1. Accept every confirmation. The app asks twice (a second just to be on the safe side).,1. Local statistics are cleared. You can get back to the menu. Do this last — it wipes play history on the device.,Manual
RS-03,Reset Statistics - Declining leaves scores alone,Spider Solitaire Unity > Statistics,Destructive,Medium,"1. Open Stats, scroll to Reset Statistics, and tap it.
2. Tap No.","1. A reset confirmation appears.
2. The confirmation closes, Statistics remains open, and the local scores are unchanged.",Manual
CL-01,Choose Look - Opens on the Surface tab,Spider Solitaire Unity > Choose Look,Functional,Medium,"1. From the main menu, tap Choose Look. If Cards is showing, tap Surface.",1. The look picker opens. Surface content (Simulate Depth) is showing.,Manual
CL-03,Choose Look - Surface and Cards tabs switch,Spider Solitaire Unity > Choose Look,Functional,Medium,"1. In Choose Look, tap Cards, then tap Surface again.",1. Cards shows Extra Large Card-Symbols. Surface comes back to Simulate Depth.,Manual
CL-04,Choose Look - Sixth surface shows on the game table,Spider Solitaire Unity > Choose Look,Functional,High,"1. On Surface, tap the 6th palette (second row, third column — light checkered wood).
2. Close Choose Look, start or resume Easy, and look at the felt.","1. That palette is selected.
2. The table felt matches the palette you picked, not only the thumbnail in the picker.",Manual
CL-05,Choose Look - Fifth card back shows on the table,Spider Solitaire Unity > Choose Look,Functional,High,"1. On Cards, tap the 5th palette (second row, second column — black filigree).
2. On the game table, look at the face-down card backs.","1. That deck is selected.
2. The backs match the deck you picked.",Manual
AD-01,Ads - Dev Panel opens (unlock if needed),Spider Solitaire Unity > Ads,Functional,High,"1. Turn Wi-Fi on. Open Spider. If an old debugger or ad is still up, close it. If you are on the table, do not tap Back yet (that can fire an ad).
2. If Dev Panel is already on screen, tap it. If not, go to About, tap the spider emblem five times quickly, then tap Dev Panel.","1. Spider is in front.
2. Dev Panel is open and shows Max Debugger.",Manual
AD-02,Ads - Max Debugger opens,Spider Solitaire Unity > Ads,Functional,High,"1. With Dev Panel open, tap Max Debugger.",1. MAX Mediation Debugger opens. You are still in Spider.,Manual
AD-03,Ads - Ads section shows the Live Network row,Spider Solitaire Unity > Ads,Functional,Medium,"1. In the debugger, scroll until you can tap the Ads row. It reads Select Live Network when empty, or Live Network when a network is already chosen.",1. That row is on screen and you can tap it.,Manual
AD-04,Ads - AppLovin is the live network,Spider Solitaire Unity > Ads,Functional,High,"1. Tap the Live Network row. Wait for the picker (its title is Select Live Network). AppLovin also appears higher up under Completed SDK Integrations — ignore that one.
2. If AppLovin is not already ticked, tap AppLovin.","1. The Select Live Network list is open.
2. A checkmark sits on AppLovin.",Manual
AD-06,"Ads - Leave-game ad: close the store X, then the ad X",Spider Solitaire Unity > Ads,Functional,High,"1. Close the debugger (Done, then close Dev Panel). Start or resume a game. Wait about 30 seconds, then tap Back. If no ad appears, resume or deal again — that second enter is allowed.
2. First tap the App Store product sheet's X (if that sheet appears). Then tap the ad's own circular X. Do not tap the skip arrows that move around.","1. A full-screen ad plays inside Spider. You did not leave for another app.
2. The store sheet closes first, then the ad.",Manual
AD-07,Ads - After the ad you are back on the table,Spider Solitaire Unity > Ads,Functional,High,"1. After both X buttons, wait for the game.",1. The game table is showing.,Manual
TA-01,"Ads - Under 30s on the table, Options has no ad",Spider Solitaire Unity > Ads,Functional,High,"1. Start a game. Within about 8 seconds, open the in-game menu and tap Options. If an ad from an earlier session appears, close it, get back to the table, and try once more within 8 seconds.",1. Options opens with no ad.,Manual
TA-02,"Ads - Over 30s on the table, Help shows an ad",Spider Solitaire Unity > Ads,Functional,High,1. Stay on the table more than 30 seconds. Open the in-game menu and tap Help.,"1. An ad plays. Close the store X, then the ad X.",Manual
TA-03,Ads - Options within 30s of the Help ad has no ad,Spider Solitaire Unity > Ads,Functional,High,"1. Right after you close the Help ad, go back to the table, open the in-game menu, and tap Options.","1. Options opens with no ad. The cooldown applies everywhere, not only on Victory.",Manual
TA-04,"Ads - Over 30s on the table, Complete Game shows a Victory ad",Spider Solitaire Unity > Ads,Functional,High,"1. Stay on the table more than 30 seconds. Open Dev Panel and tap Complete Game.
2. Close the store X, then the ad X, then close Dev Panel.","1. Victory appears with an ad on top.
2. The Victory screen is visible. Close the ad before the panel — the ad covers it.",Manual
TA-05,Ads - New within 30s of the Victory ad has no ad,Spider Solitaire Unity > Ads,Functional,High,"1. After closing the Victory ad, tap New within 30 seconds.",1. A new table deals with no ad.,Manual
TA-06,Ads - New after 30s on Victory shows an ad,Spider Solitaire Unity > Ads,Functional,High,"1. Win again with Complete Game after more than 30 seconds on the table. Close that Victory ad, stay on Victory more than 30 seconds, then tap New.","1. An ad plays before the next table. Close the store X, then the ad X.",Manual
TA-07,"Ads - Over 30s on the table, Back shows an ad then the menu",Spider Solitaire Unity > Ads,Functional,High,1. Stay on the table more than 30 seconds and tap Back.,"1. An ad plays. After the store X and the ad X, you are on the main menu — not the table.",Manual
TA-08,Ads - Starting a game within 30s on the menu has no ad,Spider Solitaire Unity > Ads,Functional,High,"1. After the Back ad closed onto the menu, wait under 30 seconds and resume or deal a game.",1. The table appears with no ad.,Manual
TA-09,Ads - Starting a game after 30s on the menu shows an ad,Spider Solitaire Unity > Ads,Functional,High,"1. Leave a table with Back after more than 30 seconds, close that ad onto the menu, stay on the menu more than 30 seconds, then resume or deal.","1. An ad plays as you enter the game. This is the menu wait, not the same as the leave-game ad.",Manual
TA-10,"Ads - Over 30s on the table, FAQ shows an ad",Spider Solitaire Unity > Ads,Functional,High,1. Stay on the table more than 30 seconds. Open the in-game menu and tap FAQ.,1. An ad plays. After it closes you can get back to the table.,Manual
LS-01,Last Score - LAST SCORE opens Last Won Game Score,Spider Solitaire Unity > Last Score,Functional,Medium,"1. From the menu, tap Play, then LAST SCORE. Wi-Fi should be on.",1. A ranking screen opens. The header reads Last Won Game Score.,Manual
LS-02,"Last Score - Arrow cycles week, month, overall, day",Spider Solitaire Unity > Last Score,Functional,Medium,"1. On Last Won Game Score, tap the forward arrow beside ranking for four times, about two seconds apart.",1. The period moves week → month → overall → day → week. You stay on Last Won Game Score — the arrow must not leave the screen.,Manual
LS-03,Last Score - Leaderboards opens Game Center,Spider Solitaire Unity > Last Score,Functional,Medium,"1. On Last Score, tap leaderboards. You need a signed-in Apple ID.
2. Tap Game Center's back arrow, then dismiss the sheet.","1. Game Center opens, headed Leaderboards.
2. Last Score is showing again.",Manual
LS-04,Last Score - Achievements opens Game Center,Spider Solitaire Unity > Last Score,Functional,Medium,"1. On Last Score, tap achievements.
2. Tap back and dismiss the sheet.","1. Game Center opens, headed Achievements.
2. Last Score is showing again.",Manual
LS-05,Last Score - Back returns to the main menu,Spider Solitaire Unity > Last Score,Functional,Medium,"1. From Last Score, tap Back until you reach the menu.",1. The main menu is showing.,Manual
AF-01,Ad-free - No leaves you on About,Spider Solitaire Unity > App Store / Mail,Functional,Medium,"1. On About, tap ad free version and tap No on the confirmation.",1. The card closes. Spider stays in front on About and the App Store does not open.,Manual
AF-02,Ad-free - Link asks No or Yes before the store,Spider Solitaire Unity > App Store / Mail,Functional,Medium,"1. On About, tap ad free version.","1. A card asks if you want to look at the ad-free version (No on the left, Yes on the right). You are still in Spider.",Manual
AF-03,Ad-free - Yes opens Spider Solitaire +,Spider Solitaire Unity > App Store / Mail,Functional,High,"1. On that card, tap Yes.
2. Read the store page name.","1. The App Store opens.
2. The page is Spider Solitaire +, the paid build of this game.",Manual
AF-04,Ad-free - Status-bar back lands on About,Spider Solitaire Unity > App Store / Mail,Functional,High,"1. From the App Store, tap ◀ Spider in the status bar.","1. You are back on About. If you land on the main menu, the app restarted instead of resuming.",Manual
FB-02,Feedback - Submit feedback asks Cancel or Write Email,Spider Solitaire Unity > App Store / Mail,Functional,Medium,"1. On About, tap submit feedback. A Mail account must be set up.",1. An alert offers Cancel and Write Email.,Manual
FB-03,Feedback - Write Email opens a Mail draft,Spider Solitaire Unity > App Store / Mail,Functional,High,1. Tap Write Email.,"1. Mail opens with a draft. If you see No Mail Accounts, that is the phone setup, not the game.",Manual
FB-04,"Feedback - Subject names the game, version, phone, and iOS",Spider Solitaire Unity > App Store / Mail,Functional,High,"1. Read the draft subject. Compare it to Settings → General → About for the model and iOS version, and to About in the game for the version.","1. The subject names Spider, the app version, this phone's model, and this iOS version.",Manual
FB-05,Feedback - Delete the draft — do not send,Spider Solitaire Unity > App Store / Mail,Functional,High,1. Delete the draft. Do not tap send. Do this even if the subject was wrong.,1. The draft is gone. Nothing was sent.,Manual
FB-06,Feedback - Status-bar back returns to Spider,Spider Solitaire Unity > App Store / Mail,Functional,Medium,"1. From Mail, tap ◀ Spider in the status bar.",1. Spider is in front. The main menu (not About) is expected — Mail is a separate app.,Manual
HS-01,Options - Contact Us opens support,Spider Solitaire Unity > Options,Functional,Medium,1. Open Options and tap Contact Us. Wi-Fi must be on.,1. You leave Options and a support page opens. What that page then loads can vary with the network.,Manual
HS-02,Options - Contact Us still leaves Options without internet,Spider Solitaire Unity > Options,Functional,Medium,1. Turn Airplane Mode on and turn Wi-Fi off. Open Options and tap Contact Us.,1. You leave Options. The support page may show a no-connection or failed-load screen instead of PeopleFun Support. That is the case — the redirect still happened.,Manual
RL-01,Relaunch - Same board after closing the app for a few seconds,Spider Solitaire Unity > Relaunch,Functional,High,"1. Start or resume a game and make one move (a card, or deal from the stock). Remember how the board looks.
2. Press Home first (the app saves when it goes to the background), swipe Spider away, wait about 3 seconds, and open it again. Do not kill it from the foreground without Home — that comes back on the menu.","1. The board has changed from the dealt position.
2. You are on the game table with the same cards. A tap a card to start overlay is fine.",Manual
RL-02,Relaunch - Same board after closing the app for 35 seconds,Spider Solitaire Unity > Relaunch,Functional,High,"1. On a game you have already moved, press Home, swipe Spider away, wait about 35 seconds, and open it again.","1. You are on the same board as before the kill. This is a second wait, not a repeat of the short one.",Manual
