Case ID,Title,Section Hierarchy,Type,Priority,Step,Expected Result,Automation
GP-05,Gameplay - Tap to raise brings the playfield back,Spider Solitaire Unity > Gameplay,Functional,High,"With the playfield lowered, tap tap to lower again (same control).",The playfield slides back up to where it started.,Manual
GP-06,Gameplay - Tap for hints highlights a move,Spider Solitaire Unity > Gameplay,Functional,High,"On a table that has a legal move, tap tap for hints. Watch the board as you tap — the highlight lasts less than a second.","A move is highlighted briefly. If you look away and look back, the board may look unchanged; that is expected.",Manual
GP-07,Gameplay - In-game menu shows all six actions,Spider Solitaire Unity > Gameplay,Functional,Medium,"On the table, open the in-game menu.","You see Replay, Abandon, Options, New, Help, and FAQ. Do not tap Abandon — it ends the game.",Manual
GP-08,Gameplay - Use Hearts ON turns Easy cards into hearts,Spider Solitaire Unity > Gameplay,Functional,High,"Start Easy. The cards should be black spades. If they are already hearts, open Options and turn Use Hearts off first.",The dealt cards are black spades.,Manual
GP-08,Gameplay - Use Hearts ON turns Easy cards into hearts,Spider Solitaire Unity > Gameplay,Functional,High,"Open the in-game menu, tap Options, turn Use Hearts on, and go back to the table.",The same deal is now red hearts. Easy only — Medium already mixes suits.,Manual
GP-09,Gameplay - Use Hearts OFF turns the cards back to spades,Spider Solitaire Unity > Gameplay,Functional,High,"With Use Hearts on and hearts on the Easy table, open Options, turn Use Hearts off, and go back to the table.",The cards are black spades again.,Manual
GP-10,"Gameplay - Rich Features OFF hides timer, score, multiplier",Spider Solitaire Unity > Gameplay,Functional,High,"On the table, look under the cards for the timer, score, and multiplier.",Those three items are visible.,Manual
GP-10,"Gameplay - Rich Features OFF hides timer, score, multiplier",Spider Solitaire Unity > Gameplay,Functional,High,"Open the in-game menu, tap Options, turn Rich Features off, and go back to the table.","Timer, score, and multiplier are gone.",Manual
GP-11,"Gameplay - Rich Features ON brings timer, score, multiplier back",Spider Solitaire Unity > Gameplay,Functional,High,"With Rich Features off, open Options, turn Rich Features on, and go back to the table.","Timer, score, and multiplier are visible again. Turn this back on before you leave — tap to lower also disappears while it is off.",Manual
GP-14,Gameplay - New deals a different board,Spider Solitaire Unity > Gameplay,Functional,High,"Look at the current board, open the in-game menu, and tap New. If a tip card appears, tap OK.","You are still on a game table, and the cards are a different deal.",Manual
VI-01,Victory - Complete Game from the table shows the win screen,Spider Solitaire Unity > Victory,Functional,High,Unlock Dev Panel on About if needed (five quick taps on the spider emblem). Deal Easy. Open Dev Panel on the table and tap Complete Game. Do not fire Complete Game from About — it only works on a game that is already open.,The Victory screen appears.,Manual
VI-01,Victory - Complete Game from the table shows the win screen,Spider Solitaire Unity > Victory,Functional,High,Close the Dev Panel so it is not covering the right side.,The Victory buttons on the right are visible.,Manual
VI-02,Victory - Win screen shows all of its parts,Spider Solitaire Unity > Victory,Functional,Medium,"On the Victory screen, with Dev Panel closed, look over the page.","You can see the ranking-for header, current / rank / best columns, leaderboards, achievements, help, new, and stats.",Manual
VI-03,Victory - Footer names the level you just played,Spider Solitaire Unity > Victory,Functional,High,Win an Easy game with Complete Game and read the footer.,"It says Easy level, matching the game you started, not some other level.",Manual
VI-04,Victory - Back returns to the main menu,Spider Solitaire Unity > Victory,Functional,Medium,"On Victory, tap the screen's own Back control — not New.",The main menu is showing. Leaving by Back leaves no game in progress.,Manual
DL-01,Difficulty - Medium starts and can be completed,Spider Solitaire Unity > Difficulty,Functional,High,"From the menu, tap Play, then Medium.",A Medium game is on the table.,Manual
DL-01,Difficulty - Medium starts and can be completed,Spider Solitaire Unity > Difficulty,Functional,High,"Open Dev Panel on the table, tap Complete Game, close the panel, then tap Back on Victory.","Victory appeared for Medium, then you can get back to the menu.",Manual
DL-02,Difficulty - Hard starts and can be completed,Spider Solitaire Unity > Difficulty,Functional,High,"From the menu, tap Play, then Hard. Complete the game from Dev Panel on the table, then tap Back on Victory.","Hard dealt a table, Victory appeared, and you can get back to the menu.",Manual
DL-03,Difficulty - Bold starts and can be completed,Spider Solitaire Unity > Difficulty,Functional,High,"From the menu, tap Play, then Bold. Complete the game from Dev Panel on the table, then tap Back on Victory.","Bold dealt a table, Victory appeared, and you can get back to the menu.",Manual
DL-04,Difficulty - Expert starts and can be completed,Spider Solitaire Unity > Difficulty,Functional,High,"From the menu, tap Play, then Expert. Complete the game from Dev Panel on the table, then tap Back on Victory.","Expert dealt a table, Victory appeared, and you can get back to the menu.",Manual
PI-01,Promo icons - Five game icons on the menu after a win,Spider Solitaire Unity > More Games,Functional,Medium,"Finish at least one game (or use Complete Game), then go to the main menu. Wait a few seconds.","Five icons sit on the left: Solitaire, Sudoku 2, Card Games, FreeCell, and Spiderette. A fresh install with no wins does not show this strip — that is normal.",Manual
PI-02,Promo icons - Solitaire opens Solitaire: Classic Cards,Spider Solitaire Unity > More Games,Functional,Medium,"On the menu, tap the Solitaire icon. Wi-Fi must be on.",The App Store opens.,Manual
PI-02,Promo icons - Solitaire opens Solitaire: Classic Cards,Spider Solitaire Unity > More Games,Functional,Medium,Read the store page name.,The page is Solitaire: Classic Cards.,Manual
PI-02,Promo icons - Solitaire opens Solitaire: Classic Cards,Spider Solitaire Unity > More Games,Functional,Medium,Tap ◀ Spider in the status bar (or switch back to Spider).,You are back on the main menu. Spider did not restart.,Manual
PI-03,Promo icons - Sudoku 2 opens Sudoku,Spider Solitaire Unity > More Games,Functional,Medium,Tap the Sudoku 2 icon.,The App Store opens on a Sudoku page.,Manual
PI-03,Promo icons - Sudoku 2 opens Sudoku,Spider Solitaire Unity > More Games,Functional,Medium,Switch back to Spider.,The main menu is showing.,Manual
PI-04,Promo icons - Card Games opens Card Games,Spider Solitaire Unity > More Games,Functional,Medium,Tap the Card Games icon.,The App Store opens on Card Games — not another Solitaire or card title.,Manual
PI-04,Promo icons - Card Games opens Card Games,Spider Solitaire Unity > More Games,Functional,Medium,Switch back to Spider.,The main menu is showing.,Manual
PI-05,Promo icons - FreeCell opens FreeCell,Spider Solitaire Unity > More Games,Functional,Medium,Tap the FreeCell icon.,The App Store opens on FreeCell.,Manual
PI-05,Promo icons - FreeCell opens FreeCell,Spider Solitaire Unity > More Games,Functional,Medium,Switch back to Spider.,The main menu is showing.,Manual
PI-06,Promo icons - Spiderette opens Spiderette,Spider Solitaire Unity > More Games,Functional,Medium,Tap the Spiderette icon.,The App Store opens on Spiderette.,Manual
PI-06,Promo icons - Spiderette opens Spiderette,Spider Solitaire Unity > More Games,Functional,Medium,Switch back to Spider.,The main menu is showing.,Manual
RS-01,Reset Statistics - Link asks you to confirm,Spider Solitaire Unity > Statistics,Destructive,High,"Open Stats, scroll to Reset Statistics, and tap it.",A confirmation appears (reset local scores?). Game Center scores are not part of this wipe.,Manual
RS-02,Reset Statistics - Confirming wipes local scores,Spider Solitaire Unity > Statistics,Destructive,High,Accept every confirmation. The app asks twice (a second just to be on the safe side).,Local statistics are cleared. You can get back to the menu. Do this last — it wipes play history on the device.,Manual
RS-03,Reset Statistics - Declining leaves scores alone,Spider Solitaire Unity > Statistics,Destructive,Medium,"Open Stats, scroll to Reset Statistics, and tap it.",A reset confirmation appears.,Manual
RS-03,Reset Statistics - Declining leaves scores alone,Spider Solitaire Unity > Statistics,Destructive,Medium,Tap No.,"The confirmation closes, Statistics remains open, and the local scores are unchanged.",Manual
CL-01,Choose Look - Opens on the Surface tab,Spider Solitaire Unity > Choose Look,Functional,Medium,"From the main menu, tap Choose Look. If Cards is showing, tap Surface.",The look picker opens. Surface content (Simulate Depth) is showing.,Manual
CL-03,Choose Look - Surface and Cards tabs switch,Spider Solitaire Unity > Choose Look,Functional,Medium,"In Choose Look, tap Cards, then tap Surface again.",Cards shows Extra Large Card-Symbols. Surface comes back to Simulate Depth.,Manual
CL-04,Choose Look - Sixth surface shows on the game table,Spider Solitaire Unity > Choose Look,Functional,High,"On Surface, tap the 6th palette (second row, third column — light checkered wood).",That palette is selected.,Manual
CL-04,Choose Look - Sixth surface shows on the game table,Spider Solitaire Unity > Choose Look,Functional,High,"Close Choose Look, start or resume Easy, and look at the felt.","The table felt matches the palette you picked, not only the thumbnail in the picker.",Manual
CL-05,Choose Look - Fifth card back shows on the table,Spider Solitaire Unity > Choose Look,Functional,High,"On Cards, tap the 5th palette (second row, second column — black filigree).",That deck is selected.,Manual
CL-05,Choose Look - Fifth card back shows on the table,Spider Solitaire Unity > Choose Look,Functional,High,"On the game table, look at the face-down card backs.",The backs match the deck you picked.,Manual
AD-01,Ads - Dev Panel opens (unlock if needed),Spider Solitaire Unity > Ads,Functional,High,"Turn Wi-Fi on. Open Spider. If an old debugger or ad is still up, close it. If you are on the table, do not tap Back yet (that can fire an ad).",Spider is in front.,Manual
AD-01,Ads - Dev Panel opens (unlock if needed),Spider Solitaire Unity > Ads,Functional,High,"If Dev Panel is already on screen, tap it. If not, go to About, tap the spider emblem five times quickly, then tap Dev Panel.",Dev Panel is open and shows Max Debugger.,Manual
AD-02,Ads - Max Debugger opens,Spider Solitaire Unity > Ads,Functional,High,"With Dev Panel open, tap Max Debugger.",MAX Mediation Debugger opens. You are still in Spider.,Manual
AD-03,Ads - Ads section shows the Live Network row,Spider Solitaire Unity > Ads,Functional,Medium,"In the debugger, scroll until you can tap the Ads row. It reads Select Live Network when empty, or Live Network when a network is already chosen.",That row is on screen and you can tap it.,Manual
AD-04,Ads - AppLovin is the live network,Spider Solitaire Unity > Ads,Functional,High,Tap the Live Network row. Wait for the picker (its title is Select Live Network). AppLovin also appears higher up under Completed SDK Integrations — ignore that one.,The Select Live Network list is open.,Manual
AD-04,Ads - AppLovin is the live network,Spider Solitaire Unity > Ads,Functional,High,"If AppLovin is not already ticked, tap AppLovin.",A checkmark sits on AppLovin.,Manual
AD-06,"Ads - Leave-game ad: close the store X, then the ad X",Spider Solitaire Unity > Ads,Functional,High,"Close the debugger (Done, then close Dev Panel). Start or resume a game. Wait about 30 seconds, then tap Back. If no ad appears, resume or deal again — that second enter is allowed.",A full-screen ad plays inside Spider. You did not leave for another app.,Manual
AD-06,"Ads - Leave-game ad: close the store X, then the ad X",Spider Solitaire Unity > Ads,Functional,High,First tap the App Store product sheet's X (if that sheet appears). Then tap the ad's own circular X. Do not tap the skip arrows that move around.,"The store sheet closes first, then the ad.",Manual
AD-07,Ads - After the ad you are back on the table,Spider Solitaire Unity > Ads,Functional,High,"After both X buttons, wait for the game.",The game table is showing.,Manual
TA-01,"Ads - Under 30s on the table, Options has no ad",Spider Solitaire Unity > Ads,Functional,High,"Start a game. Within about 8 seconds, open the in-game menu and tap Options. If an ad from an earlier session appears, close it, get back to the table, and try once more within 8 seconds.",Options opens with no ad.,Manual
TA-02,"Ads - Over 30s on the table, Help shows an ad",Spider Solitaire Unity > Ads,Functional,High,Stay on the table more than 30 seconds. Open the in-game menu and tap Help.,"An ad plays. Close the store X, then the ad X.",Manual
TA-03,Ads - Options within 30s of the Help ad has no ad,Spider Solitaire Unity > Ads,Functional,High,"Right after you close the Help ad, go back to the table, open the in-game menu, and tap Options.","Options opens with no ad. The cooldown applies everywhere, not only on Victory.",Manual
TA-04,"Ads - Over 30s on the table, Complete Game shows a Victory ad",Spider Solitaire Unity > Ads,Functional,High,Stay on the table more than 30 seconds. Open Dev Panel and tap Complete Game.,Victory appears with an ad on top.,Manual
TA-04,"Ads - Over 30s on the table, Complete Game shows a Victory ad",Spider Solitaire Unity > Ads,Functional,High,"Close the store X, then the ad X, then close Dev Panel.",The Victory screen is visible. Close the ad before the panel — the ad covers it.,Manual
TA-05,Ads - New within 30s of the Victory ad has no ad,Spider Solitaire Unity > Ads,Functional,High,"After closing the Victory ad, tap New within 30 seconds.",A new table deals with no ad.,Manual
TA-06,Ads - New after 30s on Victory shows an ad,Spider Solitaire Unity > Ads,Functional,High,"Win again with Complete Game after more than 30 seconds on the table. Close that Victory ad, stay on Victory more than 30 seconds, then tap New.","An ad plays before the next table. Close the store X, then the ad X.",Manual
TA-07,"Ads - Over 30s on the table, Back shows an ad then the menu",Spider Solitaire Unity > Ads,Functional,High,Stay on the table more than 30 seconds and tap Back.,"An ad plays. After the store X and the ad X, you are on the main menu — not the table.",Manual
TA-08,Ads - Starting a game within 30s on the menu has no ad,Spider Solitaire Unity > Ads,Functional,High,"After the Back ad closed onto the menu, wait under 30 seconds and resume or deal a game.",The table appears with no ad.,Manual
TA-09,Ads - Starting a game after 30s on the menu shows an ad,Spider Solitaire Unity > Ads,Functional,High,"Leave a table with Back after more than 30 seconds, close that ad onto the menu, stay on the menu more than 30 seconds, then resume or deal.","An ad plays as you enter the game. This is the menu wait, not the same as the leave-game ad.",Manual
TA-10,"Ads - Over 30s on the table, FAQ shows an ad",Spider Solitaire Unity > Ads,Functional,High,Stay on the table more than 30 seconds. Open the in-game menu and tap FAQ.,An ad plays. After it closes you can get back to the table.,Manual
LS-01,Last Score - LAST SCORE opens Last Won Game Score,Spider Solitaire Unity > Last Score,Functional,Medium,"From the menu, tap Play, then LAST SCORE. Wi-Fi should be on.",A ranking screen opens. The header reads Last Won Game Score.,Manual
LS-02,"Last Score - Arrow cycles week, month, overall, day",Spider Solitaire Unity > Last Score,Functional,Medium,"On Last Won Game Score, tap the forward arrow beside ranking for four times, about two seconds apart.",The period moves week → month → overall → day → week. You stay on Last Won Game Score — the arrow must not leave the screen.,Manual
LS-03,Last Score - Leaderboards opens Game Center,Spider Solitaire Unity > Last Score,Functional,Medium,"On Last Score, tap leaderboards. You need a signed-in Apple ID.","Game Center opens, headed Leaderboards.",Manual
LS-03,Last Score - Leaderboards opens Game Center,Spider Solitaire Unity > Last Score,Functional,Medium,"Tap Game Center's back arrow, then dismiss the sheet.",Last Score is showing again.,Manual
LS-04,Last Score - Achievements opens Game Center,Spider Solitaire Unity > Last Score,Functional,Medium,"On Last Score, tap achievements.","Game Center opens, headed Achievements.",Manual
LS-04,Last Score - Achievements opens Game Center,Spider Solitaire Unity > Last Score,Functional,Medium,Tap back and dismiss the sheet.,Last Score is showing again.,Manual
LS-05,Last Score - Back returns to the main menu,Spider Solitaire Unity > Last Score,Functional,Medium,"From Last Score, tap Back until you reach the menu.",The main menu is showing.,Manual
AF-01,Ad-free - No leaves you on About,Spider Solitaire Unity > App Store / Mail,Functional,Medium,"On About, tap ad free version and tap No on the confirmation.",The card closes. Spider stays in front on About and the App Store does not open.,Manual
AF-02,Ad-free - Link asks No or Yes before the store,Spider Solitaire Unity > App Store / Mail,Functional,Medium,"On About, tap ad free version.","A card asks if you want to look at the ad-free version (No on the left, Yes on the right). You are still in Spider.",Manual
AF-03,Ad-free - Yes opens Spider Solitaire +,Spider Solitaire Unity > App Store / Mail,Functional,High,"On that card, tap Yes.",The App Store opens.,Manual
AF-03,Ad-free - Yes opens Spider Solitaire +,Spider Solitaire Unity > App Store / Mail,Functional,High,Read the store page name.,"The page is Spider Solitaire +, the paid build of this game.",Manual
AF-04,Ad-free - Status-bar back lands on About,Spider Solitaire Unity > App Store / Mail,Functional,High,"From the App Store, tap ◀ Spider in the status bar.","You are back on About. If you land on the main menu, the app restarted instead of resuming.",Manual
FB-02,Feedback - Submit feedback asks Cancel or Write Email,Spider Solitaire Unity > App Store / Mail,Functional,Medium,"On About, tap submit feedback. A Mail account must be set up.",An alert offers Cancel and Write Email.,Manual
FB-03,Feedback - Write Email opens a Mail draft,Spider Solitaire Unity > App Store / Mail,Functional,High,Tap Write Email.,"Mail opens with a draft. If you see No Mail Accounts, that is the phone setup, not the game.",Manual
FB-04,"Feedback - Subject names the game, version, phone, and iOS",Spider Solitaire Unity > App Store / Mail,Functional,High,"Read the draft subject. Compare it to Settings → General → About for the model and iOS version, and to About in the game for the version.","The subject names Spider, the app version, this phone's model, and this iOS version.",Manual
FB-05,Feedback - Delete the draft — do not send,Spider Solitaire Unity > App Store / Mail,Functional,High,Delete the draft. Do not tap send. Do this even if the subject was wrong.,The draft is gone. Nothing was sent.,Manual
FB-06,Feedback - Status-bar back returns to Spider,Spider Solitaire Unity > App Store / Mail,Functional,Medium,"From Mail, tap ◀ Spider in the status bar.",Spider is in front. The main menu (not About) is expected — Mail is a separate app.,Manual
HS-01,Options - Contact Us opens support,Spider Solitaire Unity > Options,Functional,Medium,Open Options and tap Contact Us. Wi-Fi must be on.,You leave Options and a support page opens. What that page then loads can vary with the network.,Manual
HS-02,Options - Contact Us still leaves Options without internet,Spider Solitaire Unity > Options,Functional,Medium,Turn Airplane Mode on and turn Wi-Fi off. Open Options and tap Contact Us.,You leave Options. The support page may show a no-connection or failed-load screen instead of PeopleFun Support. That is the case — the redirect still happened.,Manual
RL-01,Relaunch - Same board after closing the app for a few seconds,Spider Solitaire Unity > Relaunch,Functional,High,"Start or resume a game and make one move (a card, or deal from the stock). Remember how the board looks.",The board has changed from the dealt position.,Manual
RL-01,Relaunch - Same board after closing the app for a few seconds,Spider Solitaire Unity > Relaunch,Functional,High,"Press Home first (the app saves when it goes to the background), swipe Spider away, wait about 3 seconds, and open it again. Do not kill it from the foreground without Home — that comes back on the menu.",You are on the game table with the same cards. A tap a card to start overlay is fine.,Manual
